"lat":1.298114,"lng":103.90252,"gym_name":"Road Safety Park Sign"
"lat":1.329931,"lng":103.935341,"gym_name":"Feet Massager"
"lat":1.329606,"lng":103.935536,"gym_name":"Fun Castle"
"lat":1.327025,"lng":103.931953,"gym_name":"Bedok Public Library"
"lat":1.331817,"lng":103.934432,"gym_name":"ECP Fengshan Entrance"
"lat":1.331551,"lng":103.931832,"gym_name":"Clock on an Arch"
"lat":1.331323,"lng":103.935745,"gym_name":"Playground Bedok North"
"lat":1.333974,"lng":103.929295,"gym_name":"Mysterious UFO Dome Pavillion"
"lat":1.336384,"lng":103.932926,"gym_name":"Bedok Reservoir Station"
"lat":1.337437,"lng":103.929484,"gym_name":"Playground At Block 725"
"lat":1.319248,"lng":103.93316,"gym_name":"East Coast Town"
"lat":1.319634,"lng":103.933796,"gym_name":"Winking Steam Boat Mural"
"lat":1.325616,"lng":103.932029,"gym_name":"Purple Cloud Decor"
"lat":1.324865,"lng":103.935381,"gym_name":"Kampong Chai Chee"
"lat":1.322494,"lng":103.935645,"gym_name":"Colours and Flowers Mural"
"lat":1.335722,"lng":103.878685,"gym_name":"Pavilion"
"lat":1.336175,"lng":103.870046,"gym_name":"Man Made Waterfall"
"lat":1.337515,"lng":103.887643,"gym_name":"Forested Cube"
"lat":1.336507,"lng":103.882646,"gym_name":"Tua Pek Gong Shrine"
"lat":1.334757,"lng":103.888155,"gym_name":"Tai Seng MRT"
"lat":1.335306,"lng":103.870067,"gym_name":"Heritage Tree at Woodleigh"
"lat":1.32859,"lng":103.869863,"gym_name":"Ganesha Statue"
"lat":1.329375,"lng":103.874938,"gym_name":"Camel Engraving On Bench"
"lat":1.324276,"lng":103.873281,"gym_name":"Infineon Building"
"lat":1.340264,"lng":103.919627,"gym_name":""
"lat":1.33831,"lng":103.89927,"gym_name":"SKM -Best Garage"
"lat":1.322264,"lng":103.916584,"gym_name":"月雲寺"
"lat":1.320936,"lng":103.867429,"gym_name":"Kolam Ayer Bridge"
"lat":1.322661,"lng":103.856651,"gym_name":"Whampoa Dragon"
"lat":1.307923,"lng":103.862808,"gym_name":"V Hotel"
"lat":1.312334,"lng":103.862767,"gym_name":"CT Hub"
"lat":1.308233,"lng":103.856639,"gym_name":"Little Red Riding Hood Mural"
"lat":1.310219,"lng":103.859399,"gym_name":"Jalan Besar Stadium"
"lat":1.315232,"lng":103.857992,"gym_name":"Sri Vadapathira Kaliamman Temple"
"lat":1.315762,"lng":103.858773,"gym_name":"The Hive Hostel"
"lat":1.321422,"lng":103.85277,"gym_name":"Balestier Heritage Trail Art Deco Shophouses"
"lat":1.32624,"lng":103.854656,"gym_name":"Hajjah Rahimabi (Kebun Limau)"
"lat":1.326374,"lng":103.851481,"gym_name":"Former Shaw Malay Film Studios"
"lat":1.323979,"lng":103.852426,"gym_name":"Faith Assembly of God"
"lat":1.325791,"lng":103.849713,"gym_name":""
"lat":1.325561,"lng":103.848983,"gym_name":"Balestier Market"
"lat":1.335158,"lng":103.859094,"gym_name":"Indian Temple at TPY"
"lat":1.334633,"lng":103.857878,"gym_name":"Kim Keat Palm"
"lat":1.332549,"lng":103.856472,"gym_name":"TPY Dino Park"
"lat":1.333637,"lng":103.866464,"gym_name":"Saturn Mural"
"lat":1.329754,"lng":103.857815,"gym_name":"Siong Lim Temple Pagoda"
"lat":1.329384,"lng":103.856574,"gym_name":"TPY Temple Lamp"
"lat":1.337786,"lng":103.857222,"gym_name":"Snail Mural"
"lat":1.339105,"lng":103.857352,"gym_name":"TPY Exercise Equipments"
"lat":1.336973,"lng":103.863397,"gym_name":"PP Horn"
"lat":1.336129,"lng":103.867778,"gym_name":""
"lat":1.336236,"lng":103.85012,"gym_name":"Toa Payoh Peakview"
